start_time_iso=2026-06-03T18:26:58.090
time_sec,Endo_mm,Trans_mm,Epi_mm
429.901,240.91875,239.2265625,233.406640625
430.001,241.0125,239.4421875,233.42226562500002
430.1,241.103125,239.644921875,233.434765625
430.2,241.1875,239.835546875,233.441015625
430.301,241.271875,240.013671875,233.450390625
430.401,241.35625,240.17304687499998,233.46601562499998
430.5,241.444140625,240.31367187499998,233.497265625
430.6,241.537890625,240.419921875,233.534765625
430.7,241.634765625,240.52265624999998,233.590625
430.801,241.72539062500002,240.60078125,233.634375
430.901,241.812890625,240.67578125,233.6875
431.0,241.903515625,240.73203125,233.74375
431.101,241.991015625,240.78203125,233.803125
431.201,242.072265625,240.82890625,233.8625
431.301,242.14140625,240.86953125,233.903125
431.401,242.20390625,240.90703125,233.953125
431.5,242.25078125,240.93515625,233.984375
431.601,242.29765625,240.97578124999998,234.009375
431.701,242.33828125000002,241.02890625,234.021875
431.802,242.37265625,241.09453125,234.021875
431.901,242.40078125,241.17265625000002,234.009375
432.001,242.43203125000002,241.24140625,233.996875
432.1,242.46640624999998,241.31640625,233.98749999999998
432.201,242.51328124999998,241.39765625,233.978125
432.301,242.55703125,241.46640624999998,233.96875
432.4,242.59453125,241.54453125,233.953125
432.5,242.61953125,241.634765625,233.928125
432.6,242.63515625000002,241.73164062499998,233.89375
432.7,242.64140625,241.83476562500002,233.853125
432.8,242.64140625,241.944140625,233.8125
432.901,242.63828125,242.053515625,233.76875
433.001,242.61953125,242.331640625,233.653125
433.168,242.57890625000002,242.356640625,233.646875
433.202,242.57265625,242.419140625,233.62812499999998
433.3,242.55703125,242.64101562500002,233.566015625
433.401,242.54140625,242.946875,233.487890625
433.501,242.53203125,243.290625,233.406640625
433.601,242.52265624999998,243.6875,233.31914062500002
433.702,242.51953125,243.97812499999998,233.266015625
433.801,242.51328124999998,244.353125,233.197265625
433.901,242.51328124999998,244.66875,233.150390625
434.002,242.52890625,244.96875,233.112890625
434.1,242.57578125,245.22812499999998,233.094140625
434.201,242.63515625000002,245.4125,233.091015625
434.301,242.72578124999998,245.58749999999998,233.112890625
434.401,242.835546875,245.678125,233.156640625
434.501,243.00742187499998,245.721875,233.259765625
434.601,243.21367187500002,245.70624999999998,233.359765625
434.7,243.45703125,245.63125,233.509765625
434.801,243.70703125,245.5125,233.709375
434.906,243.94140625,245.36875,233.91875000000002
435.0,244.13789062499998,245.1625,234.19375
435.1,244.34101562499998,244.94375,234.446875
435.201,244.5625,244.725,234.740625
435.301,244.80625,244.53125,235.062109375
435.401,245.077734375,244.34062500000002,235.42460937500002
435.5,245.35585937500002,244.16875,235.79335937500002
435.6,245.64609374999998,244.01875,236.13398437499998
435.7,245.93359375,243.909375,236.41484375
435.801,246.236328125,243.828125,236.66171875
435.901,246.551953125,243.775,236.89921875
436.0,246.81718750000002,243.75625,237.04921875000002
436.1,247.0828125,243.75312499999998,237.19921875
436.201,247.357421875,243.796875,237.318359375
436.3,247.594921875,243.85000000000002,237.380859375
436.401,247.79453125,243.925,237.42148437499998
436.501,247.92265625000002,244.0,237.42460937500002
436.601,247.97890625,244.09375,237.362109375
436.701,247.99140624999998,244.19375,237.268359375
436.801,247.99140624999998,244.28125,237.19921875
436.901,248.02265625,244.38437499999998,237.19296875
437.001,248.12265624999998,244.54375000000002,237.265234375
437.101,248.19453124999998,244.671875,237.333984375
437.201,248.12578125000002,244.625,237.296484375
437.3,247.80703125,244.2625,237.03984375000002
437.401,247.257421875,243.484375,236.47734375000002
437.501,246.57070312500002,242.709375,236.015234375
437.6,245.78671875,241.878515625,235.44648437499998
437.701,244.853125,241.07578125,234.803125
437.8,243.94765625,240.54453125,234.43125
437.902,242.86992187500002,239.935546875,233.921875
438.001,241.828515625,239.3921875,233.425390625
438.1,240.82500000000002,238.9046875,232.91289062500002
438.2,239.81484375,238.4765625,232.27265624999998
438.3,238.820703125,238.148828125,231.82890625
438.401,237.8359375,237.698828125,231.25078125000002
438.5,237.141796875,237.330078125,230.998046875
438.601,236.50078125,236.84921875,230.729296875
438.701,235.94765625,236.34921875,230.526171875
438.801,235.39765625,235.81796875,230.341796875
438.901,234.79765625,235.21796875,230.129296875
439.0,234.21015624999998,234.73007812499998,230.00117187499998
439.101,233.59765625,234.13945312500002,229.854296875
439.2,232.95078124999998,233.34882812499998,229.69804687500002
439.3,232.35703125,232.626953125,229.604296875
439.4,231.71328125000002,231.6734375,229.48593749999998
439.5,231.05078125,230.58281250000002,229.3828125
439.602,230.36015625000002,229.4203125,229.3046875
439.701,229.619921875,228.0671875,229.2671875
439.801,228.89882812500002,226.65156249999998,229.2765625
439.901,228.13359375,224.9671875,229.3140625
440.001,227.35625000000002,223.5859375,229.3265625
440.102,226.572265625,222.18281249999998,229.3046875
440.2,225.763671875,220.698828125,229.24843750000002
440.301,225.0390625,219.642578125,229.19218750000002
440.401,224.19921875,218.326953125,229.08281250000002
440.501,223.468359375,217.508203125,228.99843750000002
440.601,222.596875,216.57734375,228.8234375
440.701,221.85976562500002,215.99296875,228.7078125
440.801,221.05078125,215.25273437500002,228.5296875
440.9,220.213671875,214.334375,228.3671875
441.001,219.4515625,213.447265625,228.2046875
441.101,218.61796875,212.33828125000002,227.980078125
441.2,217.855859375,211.494921875,227.836328125
441.301,217.021484375,210.40390625,227.617578125
441.4,216.18046875,209.43515625,227.473828125
441.501,215.31757812499998,208.38164062500002,227.28632812499998
441.601,214.41093750000002,207.390625,227.023828125
441.701,213.641796875,206.925,226.78632812499998
441.801,212.838671875,206.63398437499998,226.44570312500002
441.9,212.00390625,206.49648437500002,226.05234375
442.001,211.250390625,206.393359375,225.71484375
442.1,210.484765625,206.183984375,225.35234375
442.2,209.73164062499998,205.999609375,225.11796875000002
442.301,208.94375000000002,205.774609375,224.780859375
442.401,208.19062499999998,205.596484375,224.56523437500002
442.501,207.35,205.39921875,224.27773437500002
442.601,206.4375,205.23984375,223.974609375
442.701,205.505859375,205.06796875,223.674609375
442.801,204.53437499999998,204.77421875,223.36835937499998
442.9,203.66953125,204.41484375,223.177734375
443.001,202.6859375,203.81484375,223.00273437500002
443.1,201.724609375,203.089453125,222.83359375
443.201,200.972265625,202.608203125,222.69921875
443.301,200.45390625000002,202.270703125,222.51171875
443.401,200.19492187499998,202.111328125,222.30859375
443.501,200.085546875,202.048828125,222.09609375
443.601,200.03593750000002,202.023828125,221.88359375
443.701,199.9703125,201.98320312500002,221.69296875
443.8,199.95156250000002,201.973828125,221.45859374999998
443.901,199.9703125,201.98007812499998,221.30859375
444.0,199.99531249999998,201.998828125,221.10234375000002
444.101,199.9609375,201.992578125,220.99921875
444.201,199.73906250000002,201.945703125,220.89296875
444.301,199.564453125,201.911328125,220.80546875000002
444.402,199.7234375,201.94257812499998,220.71445312499998
444.5,200.47578125,202.080078125,220.605078125
444.6,201.855859375,202.270703125,220.42695312499998
444.701,203.55078125,202.523828125,220.298828125
444.801,205.324609375,203.04570312500002,220.239453125
444.901,206.659375,203.69921875,220.31132812500002
445.001,207.909375,204.82734375,220.505078125
445.101,209.14374999999998,206.083984375,220.78984375
445.2,210.441015625,207.12812499999998,221.10546875
445.301,212.03515625,207.721875,221.54296875
445.401,213.62929687500002,207.77499999999998,221.89296875
445.502,215.47382812499998,207.671875,222.45234375
445.601,217.10273437499998,207.721875,222.83671875
445.7,218.667578125,208.181640625,223.29960937500002
445.801,220.207421875,208.987890625,223.740234375
445.901,221.666015625,209.93203125000002,224.199609375
446.0,223.030859375,210.848046875,224.690234375
446.101,224.348828125,211.641796875,225.28671875
446.201,225.379296875,212.16640625,225.76796875
446.301,226.425390625,212.77578125,226.451953125
446.4,227.35,213.262890625,226.933203125
446.5,228.37421874999998,214.540625,228.3578125
446.625,229.69804687500002,214.60000000000002,228.4140625
446.701,230.48828125,215.080859375,228.9390625
446.801,231.47578125,215.89335937500002,229.65117187500002
446.9,232.28828125,216.73984375,230.060546875
447.0,232.99765624999998,217.85820312500002,230.460546875
447.101,233.63828125,219.098828125,230.801171875
447.2,234.23203125,220.320703125,231.11953125000002
447.3,234.84765625,221.5296875,231.46328125000002
447.401,235.41953125,222.67656250000002,231.79140625
447.501,236.00390625,223.9859375,232.17265625
447.601,236.50390625,224.9921875,232.41914062499998
447.7,236.99765625,226.09218750000002,232.70976562500002
447.8,237.479296875,227.2640625,233.02851562499998
447.9,237.90156249999998,228.2046875,233.25664062500002
448.002,238.2921875,229.2234375,233.484765625
448.1,238.633203125,230.2546875,233.671875
448.201,238.876953125,231.1390625,233.790625
448.301,239.09882812499998,232.14570312499998,233.896875
448.401,239.28046875,232.89570312499998,233.946875
448.502,239.45859375,233.720703125,233.98749999999998
448.6,239.59921875,234.326953125,233.990625
448.7,239.72421875,234.93632812500002,233.97187499999998
448.8,239.83984375,235.48984375,233.93125
448.901,239.958984375,235.99921874999998,233.884375
449.0,240.07773437499998,236.48046875,233.8
