Format Version,1.23,Take Name,heart_sim_output,Take Notes,,Capture Frame Rate,10,Export Frame Rate,10,Capture Start Time,3/17/2026 16:00,Total Frames in Take,,Total Exported Frames,,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global,
,,,,,,,,,,,,,,,,,,,,,,
,Type,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,ID,Tag1,Tag1,Tag1,Tag2,Tag2,Tag2,Midpoint,Midpoint,Midpoint,Purple,Purple,Purple,Pink,Pink,Pink,Green,Green,Green,Yellow,Yellow,Yellow
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
45,4.5,0.096646,-0.070097,0.064197,-0.052101,-0.080472,0.057662,0.022273,-0.075285,0.06093,-0.003957,-0.164459,0.144978,0.029803,-0.160784,0.144394,0.00049,-0.164403,0.096956,0.027278,-0.167019,0.095972
46,4.6,0.096698,-0.07053,0.064143,-0.052257,-0.081145,0.057522,0.02222,-0.075837,0.060833,-0.003676,-0.162334,0.143913,0.029837,-0.159804,0.144332,0.000483,-0.164472,0.096925,0.026795,-0.166944,0.095927
47,4.7,0.096783,-0.071471,0.063947,-0.052,-0.079945,0.05777,0.022392,-0.075708,0.060859,-0.004425,-0.163405,0.145409,0.02924,-0.160774,0.144839,0.000317,-0.165467,0.09686,0.02721,-0.166117,0.096521
48,4.8,0.096749,-0.071031,0.064057,-0.05224,-0.080993,0.057582,0.022255,-0.076012,0.06082,-0.004377,-0.163359,0.145436,0.028826,-0.160577,0.144857,0.00037,-0.165425,0.096887,0.027321,-0.16689,0.094996
49,4.9,0.096724,-0.071066,0.064028,-0.052209,-0.080849,0.057603,0.022257,-0.075957,0.060815,-0.004379,-0.16343,0.145412,0.028793,-0.160715,0.145308,0.000364,-0.165496,0.096863,0.02725,-0.1671,0.095954
50,5,0.096817,-0.071356,0.063952,-0.05205,-0.080435,0.057664,0.022384,-0.075896,0.060808,-0.004331,-0.163409,0.145418,0.02838,-0.160553,0.145298,0.000404,-0.16547,0.096868,0.02729,-0.167074,0.095955
51,5.1,0.096866,-0.071959,0.063864,-0.05227,-0.081129,0.057534,0.022298,-0.076544,0.060699,-0.004377,-0.163454,0.14542,0.028342,-0.15962,0.145744,0.000325,-0.165599,0.097369,0.027211,-0.167205,0.09645
52,5.2,0.096784,-0.071479,0.063937,-0.052192,-0.080803,0.057608,0.022296,-0.076141,0.060773,-0.00439,-0.163407,0.145449,0.027869,-0.159431,0.145764,-0.000168,-0.165415,0.097388,0.026757,-0.166953,0.095978
53,5.3,0.096861,-0.071819,0.063889,-0.052151,-0.080703,0.057628,0.022355,-0.076261,0.060759,-0.004329,-0.163391,0.145423,0.027898,-0.159479,0.146211,-0.000211,-0.166396,0.097284,0.027257,-0.16713,0.09645
54,5.4,0.096725,-0.070966,0.064048,-0.052129,-0.080607,0.057667,0.022298,-0.075786,0.060857,-0.004379,-0.163369,0.145472,0.02694,-0.158196,0.146684,-0.000254,-0.166386,0.097335,0.026738,-0.166978,0.096493
55,5.5,0.09666,-0.070493,0.064081,-0.052141,-0.080721,0.057587,0.022259,-0.075607,0.060834,-0.004348,-0.163436,0.145385,0.026481,-0.158191,0.147059,-0.000231,-0.166436,0.097247,0.026761,-0.167027,0.0964
56,5.6,0.096947,-0.072271,0.063827,-0.052231,-0.081144,0.057585,0.022358,-0.076708,0.060706,-0.004307,-0.163405,0.145454,0.026077,-0.157033,0.147551,-0.000095,-0.165401,0.097391,0.026798,-0.167002,0.096467
57,5.7,0.096812,-0.071454,0.06388,-0.052216,-0.081141,0.057573,0.022298,-0.076298,0.060726,-0.004338,-0.16349,0.145391,0.025513,-0.158105,0.147984,-0.000269,-0.166566,0.097751,0.02628,-0.166948,0.096387
58,5.8,0.096833,-0.071781,0.063909,-0.052223,-0.081028,0.057538,0.022305,-0.076404,0.060724,-0.005046,-0.165307,0.145485,0.025051,-0.15682,0.147981,-0.00029,-0.166471,0.097781,0.026703,-0.167063,0.096935
59,5.9,0.09671,-0.071075,0.063975,-0.0522,-0.081004,0.05759,0.022255,-0.076039,0.060782,-0.004529,-0.165376,0.144485,0.025048,-0.156892,0.14796,-0.00031,-0.16654,0.097768,0.026682,-0.167137,0.096913
60,6,0.096678,-0.070676,0.064089,-0.052215,-0.080849,0.057605,0.022231,-0.075763,0.060847,-0.004523,-0.165287,0.144556,0.025003,-0.156879,0.148468,-0.000312,-0.166466,0.097797,0.026713,-0.166992,0.096457
61,6.1,0.096748,-0.071186,0.063946,-0.052122,-0.080525,0.05766,0.022313,-0.075856,0.060803,-0.003348,-0.163515,0.14445,0.024586,-0.156749,0.148444,-0.00029,-0.166478,0.097794,0.026259,-0.166859,0.096433
62,6.2,0.09677,-0.071134,0.063965,-0.052092,-0.080565,0.057657,0.022339,-0.07585,0.060811,-0.002765,-0.163563,0.143483,0.02463,-0.156796,0.148407,-0.000242,-0.166521,0.097755,0.026307,-0.166897,0.096394
63,6.3,0.096789,-0.071496,0.063954,-0.052294,-0.081223,0.057485,0.022248,-0.076359,0.060719,-0.003326,-0.163487,0.143974,0.024559,-0.156743,0.148476,-0.0003,-0.166485,0.09782,0.026249,-0.166864,0.096468
64,6.4,0.096679,-0.070616,0.064098,-0.052206,-0.080901,0.057578,0.022236,-0.075759,0.060838,-0.002772,-0.162659,0.144437,0.024989,-0.156873,0.148455,-0.000424,-0.167472,0.097708,0.026193,-0.166909,0.096925
65,6.5,0.096734,-0.070885,0.064014,-0.052171,-0.080782,0.057624,0.022281,-0.075833,0.060819,-0.002762,-0.162622,0.143959,0.024588,-0.156757,0.14845,-0.000284,-0.166489,0.097798,0.026773,-0.166945,0.095958
